steamid,personaname,loccountrycode,recent_playtime_hours,profileurl,two_weeks
76561199222131789,Nigleileus Dingledick,US,0.0,https://steamcommunity.com/id/chiefkeefer/,31.03
76561198287410686,[ HM ] MATKE ᴴᶻ,CU,0.0,https://steamcommunity.com/id/Matkovicccc/,34.6
76561198059428669,Benjamin Keane,CA,0.0,https://steamcommunity.com/id/fru1tycak3/,0.0
76561199655493235,shit_powerd_DUCK,US,0.0,https://steamcommunity.com/id/Steam_power_duck/,61.13
76561199152509709,i ate a ceiling fan,,0.0,https://steamcommunity.com/id/VulpesHL/,0.0
76561197985138679,Double,,0.0,https://steamcommunity.com/id/poucino/,6.68
76561199142760348,clay,DE,0.0,https://steamcommunity.com/id/therewereonly271k/,40.32
76561199588836649,UVBmrAroi,CM,34.27,https://steamcommunity.com/profiles/76561199588836649/,23.15
76561199205260333,nuclea,,0.0,https://steamcommunity.com/profiles/76561199205260333/,0.0
76561198324228019,omy,MX,0.0,https://steamcommunity.com/id/omy5846/,1.37
76561199095696876,*NO ANIME* kakaer,RU,0.0,https://steamcommunity.com/profiles/76561199095696876/,50.6
76561198087349767,cutefeet!,PL,0.0,https://steamcommunity.com/profiles/76561198087349767/,45.02
76561199026051469,Musashi,DZ,0.0,https://steamcommunity.com/id/KenJ_aKu/,0.0
76561198864328424,Pablo,CA,0.0,https://steamcommunity.com/profiles/76561198864328424/,11.37
76561198030858800,CharlesBaa_,AU,0.0,https://steamcommunity.com/id/Charles_Barkley_/,72.08
76561199612273534,Refriedbeanz,US,0.0,https://steamcommunity.com/id/Jdmdjd/,77.9
76561198246061058,DeathTaco,US,0.0,https://steamcommunity.com/id/D3ATHTAC0/,158.9
76561199091909783,Nut Fondler,,0.0,https://steamcommunity.com/profiles/76561199091909783/,0.65
76561198418105475,Spungle,ZW,0.0,https://steamcommunity.com/profiles/76561198418105475/,0.0
76561198886593814,adam.rucka,,0.0,https://steamcommunity.com/profiles/76561198886593814/,43.02
76561198872344840,ImNoBody321,,0.0,https://steamcommunity.com/id/ImNoBody321/,37.85
76561198025819260,WinterWerewolf,PL,0.22,https://steamcommunity.com/id/winterwerewolf/,0.72
76561198043226786,Grzmot,,0.0,https://steamcommunity.com/profiles/76561198043226786/,7.52
76561198053853780,Russian PP #SkinsMonkey,,0.0,https://steamcommunity.com/profiles/76561198053853780/,0.0
76561198064808821,mixike,EE,0.0,https://steamcommunity.com/id/mixike/,15.38
76561198037932476,NeXo,LV,0.0,https://steamcommunity.com/id/Nexowastaken/,117.95
76561199001721160,brandonlaidlaw122,,0.0,https://steamcommunity.com/id/brandonlaidlaw122/,2.68
76561198113204032,Bucket,US,167.82,https://steamcommunity.com/id/bucketnwg/,166.53
76561198091998894,last glacial maximum,FR,0.0,https://steamcommunity.com/id/LeftoverSpaghetti/,0.0
76561198120007183,whitearmor,,0.0,https://steamcommunity.com/id/white4rmor/,55.87
76561199095116061,Citadel,CK,0.0,https://steamcommunity.com/profiles/76561199095116061/,43.27
76561198882388838,999 Electe <3,,0.0,https://steamcommunity.com/profiles/76561198882388838/,58.73
76561198086384770,✪ brax dude,FI,0.0,https://steamcommunity.com/id/tomthefall/,0.0
76561199587581983,Mark C,ME,0.0,https://steamcommunity.com/profiles/76561199587581983/,0.0
76561198119125868,SaltyPeanuts,,0.0,https://steamcommunity.com/id/DrSaltiestSalty/,23.17
76561198062507606,Sifando,NO,0.0,https://steamcommunity.com/profiles/76561198062507606/,84.37
76561199023614835,MommyMilkers,US,0.0,https://steamcommunity.com/id/Deja_Vu_TOMMY/,0.0
76561199493495305,big_lebowski,,0.0,https://steamcommunity.com/profiles/76561199493495305/,13.73
76561198349114509,Scammers,ID,0.0,https://steamcommunity.com/profiles/76561198349114509/,36.43
76561198069402855,Malware Mal,,0.0,https://steamcommunity.com/id/Malwaremal/,178.63
76561198280351497,Reinhardt,US,0.0,https://steamcommunity.com/profiles/76561198280351497/,0.0
76561197967621712,Bulamatari,GB,0.0,https://steamcommunity.com/id/Bulamatari/,29.78
76561199263917095,Markes,,0.0,https://steamcommunity.com/profiles/76561199263917095/,17.35
76561198049949159,Optimistic Prime,,0.0,https://steamcommunity.com/id/optimiprime/,0.0
76561199199660383,Specteral_Flame,,0.0,https://steamcommunity.com/profiles/76561199199660383/,21.07
76561198357701819,Fiyan Zaki,ID,0.0,https://steamcommunity.com/id/fiyanzaki/,10.5
76561198811282898,Justmemeit,US,0.0,https://steamcommunity.com/profiles/76561198811282898/,49.53
76561199774862491,WEED WIZARD bandit.gg,,0.0,https://steamcommunity.com/profiles/76561199774862491/,96.13
76561198922732659,MtnDewDevourer,,0.0,https://steamcommunity.com/id/WhosBlue/,23.72
76561198319509071,rice farming lemon,US,0.0,https://steamcommunity.com/id/farmedcitrus/,48.05
76561198007699413,Get_voice,,0.0,https://steamcommunity.com/id/get_voice/,50.93
76561199098343633,antoanster,,0.0,https://steamcommunity.com/profiles/76561199098343633/,15.72
76561198865513949,CR4N1AX,IN,0.0,https://steamcommunity.com/profiles/76561198865513949/,15.28
76561199099380278,Bakisa,RS,40.0,https://steamcommunity.com/profiles/76561199099380278/,38.97
76561198275236522,Kyryh,IT,0.0,https://steamcommunity.com/id/Kyryh/,62.75
76561198999690995,Simme 0_0,,0.0,https://steamcommunity.com/profiles/76561198999690995/,0.0
76561199061829221,unconscious,IT,0.0,https://steamcommunity.com/profiles/76561199061829221/,77.9
76561198870959740,Athena,,0.0,https://steamcommunity.com/profiles/76561198870959740/,22.28
76561198277656746,cet on a chair,,0.0,https://steamcommunity.com/profiles/76561198277656746/,41.53
76561199814213992,spiderpro7295,,0.0,https://steamcommunity.com/profiles/76561199814213992/,43.1
76561198988984163,ChinesePplStopTouchingMy*******,,0.0,https://steamcommunity.com/profiles/76561198988984163/,3.73
76561198914558608,man of the year,US,0.0,https://steamcommunity.com/id/heimeydinger/,0.0
76561198336883641,WOLFIE,US,0.0,https://steamcommunity.com/id/wolfemilk/,0.0
76561199247717820,Sydney,AU,3.33,https://steamcommunity.com/profiles/76561199247717820/,6.72
76561198410206941,Plaguey,AU,0.0,https://steamcommunity.com/profiles/76561198410206941/,150.8
76561199707749989,sePate,CN,0.0,https://steamcommunity.com/profiles/76561199707749989/,54.2
76561199120178169,tekno,,0.0,https://steamcommunity.com/id/TeknoRocketSience/,83.65
76561199088731599,Fancy_Melon,CA,0.0,https://steamcommunity.com/id/Fancy_Melon/,0.0
